"FWB_id","site_year_code","sp_site","collection_site_id","fish_species","fish_family","waterbody_type","collection_decimal_longitude","collection_decimal_latitude","sp_site_mean_N","sp_site_var_N","sp_site_mean_C","sp_site_var_C","sp_site_mean_length","sp_site_var_length","sp_site_num_ind","VarTot","Food web_ID","Climate_zone","Type","Latitude","Longitude","Size","dis_r_sv","TP","TN","Distance_km","temp","hft","prec","pop","crp","urb","upstr","regul","pop_den","size_class","size_z_scored","hydro_dis_z_scored","TP_class","Climate_zone_e","Climate_zone_e2","Dist_class","distance_to_env_m","match_flag","num"
"FWB_0064","FWB_0064_2008","Hephaestus fuliginosus_Mitchell River @ Cooktown Crossing","Mitchell River @ Cooktown Crossing","Hephaestus fuliginosus","Terapontidae","lotic",144.89,-16.566,0.753056234718826,0.0408182107418722,0.161067690479455,0.021826532848383,74.6666666666667,281.333333333333,3,0.0626447435902552,"FWB_0064",18,"lotic",-16.566,144.89,1.99890913078792,6.59162538000169,4.24836319090242,265.4608058,27.640859297306,242,3,1445,-6.90775527898214,2,0,6.42778051882691,0,-4.96041757793564,"large",0.347061171881451,1.80523010896529,"low_prod","Extremely hot and moist","Hot and moist","Q1 (close)",0,"ok",1
"FWB_0064","FWB_0064_2008","Leiopotherapon unicolor_Mitchell River @ Cooktown Crossing","Mitchell River @ Cooktown Crossing","Leiopotherapon unicolor","Terapontidae","lotic",144.89,-16.566,0.4253192067373,0.0859943802698808,0.87461949814891,0.0132654603121852,71.2,683.2,5,0.099259840582066,"FWB_0064",18,"lotic",-16.566,144.89,1.99890913078792,6.59162538000169,4.24836319090242,265.4608058,27.640859297306,242,3,1445,-6.90775527898214,2,0,6.42778051882691,0,-4.96041757793564,"large",0.347061171881451,1.80523010896529,"low_prod","Extremely hot and moist","Hot and moist","Q1 (close)",0,"ok",1
"FWB_0064","FWB_0064_2008","NA_Mitchell River @ Cooktown Crossing","Mitchell River @ Cooktown Crossing","NA","Melanotaeniidae","lotic",144.89,-16.566,0.510567780494431,0.0587967787771312,0.677718360071301,0.0155312221782084,65,185.5,5,0.0743280009553396,"FWB_0064",18,"lotic",-16.566,144.89,1.99890913078792,6.59162538000169,4.24836319090242,265.4608058,27.640859297306,242,3,1445,-6.90775527898214,2,0,6.42778051882691,0,-4.96041757793564,"large",0.347061171881451,1.80523010896529,"low_prod","Extremely hot and moist","Hot and moist","Q1 (close)",0,"ok",1
"FWB_0064","FWB_0064_2008","Oxyeleotris lineolata_Mitchell River @ Cooktown Crossing","Mitchell River @ Cooktown Crossing","Oxyeleotris lineolata","Butidae","lotic",144.89,-16.566,0.716761749524586,0.0325645079643841,0.645934457699164,0.0333646825988395,171.4,800.8,5,0.0659291905632235,"FWB_0064",18,"lotic",-16.566,144.89,1.99890913078792,6.59162538000169,4.24836319090242,265.4608058,27.640859297306,242,3,1445,-6.90775527898214,2,0,6.42778051882691,0,-4.96041757793564,"large",0.347061171881451,1.80523010896529,"low_prod","Extremely hot and moist","Hot and moist","Q1 (close)",0,"ok",1
"FWB_0068","FWB_0068_2019","Hephaestus jenkinsi_Mungungudha","Mungungudha","Hephaestus jenkinsi","Terapontidae","lotic",125.195568,-18.504371,0.360320172108327,0.0632603306543022,0.172459279651296,0.012854283079032,184.666666666667,286.75,9,0.0761146137333342,"FWB_0068",17,"lotic",-18.504371,125.195568,4.36196422363683,4.73080301981415,4.51090233625898,109.8949317,23.3723277787241,275,46,470,-6.21460809842219,0,0,7.72641466362599,0,-4.70942020736189,"large",1.96088501433862,-0.65886695436101,"low_prod","Extremely hot and xeric","Hot and dry","Q1 (close)",0,"ok",1
"FWB_0068","FWB_0068_2019","Lates calcarifer_Mungungudha","Mungungudha","Lates calcarifer","Latidae","lotic",125.195568,-18.504371,0.659510250569476,0.083189575214948,0.310030970406056,0.0514879833071951,532,3307.5,5,0.134677558522143,"FWB_0068",17,"lotic",-18.504371,125.195568,4.36196422363683,4.73080301981415,4.51090233625898,109.8949317,23.3723277787241,275,46,470,-6.21460809842219,0,0,7.72641466362599,0,-4.70942020736189,"large",1.96088501433862,-0.65886695436101,"low_prod","Extremely hot and xeric","Hot and dry","Q1 (close)",0,"ok",1
"FWB_0068","FWB_0068_2019","Neoarius graeffei_Mungungudha","Mungungudha","Neoarius graeffei","Ariidae","lotic",125.195568,-18.504371,0.691438876233865,0.038171680174968,0.696948841477403,0.0406097047799389,246.666666666667,43.75,9,0.0787813849549069,"FWB_0068",17,"lotic",-18.504371,125.195568,4.36196422363683,4.73080301981415,4.51090233625898,109.8949317,23.3723277787241,275,46,470,-6.21460809842219,0,0,7.72641466362599,0,-4.70942020736189,"large",1.96088501433862,-0.65886695436101,"low_prod","Extremely hot and xeric","Hot and dry","Q1 (close)",0,"ok",1
"FWB_0101","FWB_0101_2021","Cyprinus carpio_furthteich","furthteich","Cyprinus carpio","Cyprinidae","lentic",15.2595931,48.8197842,0.34468085106383,0.0430861292327834,0.876240027748873,0.0101587088462319,NA,NA,15,0.0532448380790154,"FWB_0101",8,"lentic",48.8197842,15.2595931,-1.30933331998376,-2.62694281480238,6.47513325060511,3687.232571,111.888634421588,75,203,728,0.963174317773006,74,0,-1.16472004040423,0,4.31227468051371,"small",-0.617619858526394,-0.255272608941494,"high_prod","Cool temperate and dry","Cool temperate and dry/xeric","Q4 (far)",0,"ok",1
"FWB_0101","FWB_0101_2021","Pseudorasbora parva_furthteich","furthteich","Pseudorasbora parva","Gobionidae","lentic",15.2595931,48.8197842,0.627558257345491,0.0252793919740825,0.650502948317724,0.0625175460727657,NA,NA,15,0.0877969380468482,"FWB_0101",8,"lentic",48.8197842,15.2595931,-1.30933331998376,-2.62694281480238,6.47513325060511,3687.232571,111.888634421588,75,203,728,0.963174317773006,74,0,-1.16472004040423,0,4.31227468051371,"small",-0.617619858526394,-0.255272608941494,"high_prod","Cool temperate and dry","Cool temperate and dry/xeric","Q4 (far)",0,"ok",1
"FWB_0102","FWB_0102_2022","Cyprinus carpio_gopfridsteich","gopfridsteich","Cyprinus carpio","Cyprinidae","lentic",15.2041411,48.8632911,0.586734693877551,0.0099437839596033,0.173352174309417,0.00737629087277569,NA,NA,14,0.017320074832379,"FWB_0102",7,"lentic",48.8632911,15.2041411,-2.12026353620009,-2.85448000616492,6.47513325060511,3687.232571,102.34002338008,70,95,762,0.0741793981742515,50,0,-2.45329171041875,0,3.6878291527405,"small",-0.946562784624735,-0.33981079380952,"high_prod","Cold and mesic","Cold and wet/mesic","Q4 (far)",0,"ok",1
