"","FWB_id","sp_site","collection_site_id","fish_species","fish_family","waterbody_type","collection_decimal_longitude","collection_decimal_latitude","sp_site_mean_N","sp_site_var_N","sp_site_mean_C","sp_site_var_C","sp_site_mean_length","sp_site_var_length","sp_site_num_ind","VarTot","Food web_ID","Climate_zone","Type","Latitude","Longitude","Size","dis_r_sv","TP","TN","Distance_km","temp","hft","prec","pop","crp","urb","upstr","regul","pop_den","size_class","size_z_scored","hydro_dis_z_scored","TP_class","Climate_zone_e","Climate_zone_e2","Dist_class","distance_to_env_m","match_flag","num"
"21","FWB_0150","Cottus cognatus_Blackbrook 24-culverts","Blackbrook 24-culverts","Cottus cognatus","Cottidae","lotic",-67.74977,47.8123,0.359111111111111,0.0177461728395061,0.415353805073431,0.0578110526243863,74,76.6666666666667,10,0.0755572254638924,"FWB_0150",7,"lotic",47.8123,-67.74977,2.21112748250521,6.52511685810556,1.60632598199739,572.9540348,50.3817319893594,20,0,1030,-6.90775527898214,0,0,5.91300831573183,0,-11.5129254649702,"large",0.491993482958224,1.71715966387782,"low_prod","Cold and mesic","Cold and wet/mesic","Q3",0,"ok",1
"22","FWB_0150","Salvelinus fontinalis_Blackbrook 24-culverts","Blackbrook 24-culverts","Salvelinus fontinalis","Salmonidae","lotic",-67.74977,47.8123,0.35018315018315,0.104576441782791,0.787819656978536,0.0202199280210616,71.9230769230769,1000.91025641026,13,0.124796369803853,"FWB_0150",7,"lotic",47.8123,-67.74977,2.21112748250521,6.52511685810556,1.60632598199739,572.9540348,50.3817319893594,20,0,1030,-6.90775527898214,0,0,5.91300831573183,0,-11.5129254649702,"large",0.491993482958224,1.71715966387782,"low_prod","Cold and mesic","Cold and wet/mesic","Q3",0,"ok",1
"23","FWB_0151","Rhinichthys atratulus_BLR","BLR","Rhinichthys atratulus","Leuciscidae","lotic",-65.78,45.33,0.478614097968937,0.109151703829316,0.168376837683768,0.0622815386849215,53.4,124.3,5,0.171433242514237,"FWB_0151",7,"lotic",45.33,-65.78,1.98718918197475,4.93049691739687,-1.38659437812049,13.29489939,44.9340914618772,56,148,1325,0.120446153075867,1,0,2.27408376143324,0,3.74395955698325,"large",0.339057155011805,-0.394432714357479,"low_prod","Cold and mesic","Cold and wet/mesic","Q2",0,"ok",1
"24","FWB_0151","Salvelinus fontinalis_BLR","BLR","Salvelinus fontinalis","Salmonidae","lotic",-65.78,45.33,0.332616487455197,0.0519633683477287,0.716171617161716,0.0397216589345703,73,1117,5,0.091685027282299,"FWB_0151",7,"lotic",45.33,-65.78,1.98718918197475,4.93049691739687,-1.38659437812049,13.29489939,44.9340914618772,56,148,1325,0.120446153075867,1,0,2.27408376143324,0,3.74395955698325,"large",0.339057155011805,-0.394432714357479,"low_prod","Cold and mesic","Cold and wet/mesic","Q2",0,"ok",1
"25","FWB_0156","Cottus cognatus_CherryBrook 20-culverts","CherryBrook 20-culverts","Cottus cognatus","Cottidae","lotic",-67.931555,47.62245,0.355753490611459,0.0827399106475791,0.722545959070413,0.0175000519014714,64.7,143.788888888889,10,0.10023996254905,"FWB_0156",7,"lotic",47.62245,-67.931555,1.38529386078631,5.988121950695,3.41521420933581,1039.4769,71.7834382543419,19,5,1056,-6.21460809842219,1,0,3.02135177352468,0,-2.30248509799371,"large",-0.0720009802542047,1.00607213468552,"low_prod","Cold and mesic","Cold and wet/mesic","Q4 (far)",0,"ok",1
"26","FWB_0156","Salvelinus fontinalis_CherryBrook 20-culverts","CherryBrook 20-culverts","Salvelinus fontinalis","Salmonidae","lotic",-67.931555,47.62245,0.481102551757342,0.0844257575134433,0.48877904960111,0.0395005949484293,87.7,1438.53684210526,20,0.123926352461873,"FWB_0156",7,"lotic",47.62245,-67.931555,1.38529386078631,5.988121950695,3.41521420933581,1039.4769,71.7834382543419,19,5,1056,-6.21460809842219,1,0,3.02135177352468,0,-2.30248509799371,"large",-0.0720009802542047,1.00607213468552,"low_prod","Cold and mesic","Cold and wet/mesic","Q4 (far)",0,"ok",1
"27","FWB_0157","Cottus cognatus_CherryBrook 21-culverts","CherryBrook 21-culverts","Cottus cognatus","Cottidae","lotic",-67.931485,47.62246,0.381211372064277,0.0450540878107148,0.678769541099345,0.028793068532518,66.4,99.3777777777778,10,0.0738471563432328,"FWB_0157",7,"lotic",47.62246,-67.931485,1.38529386078631,5.988121950695,3.41521420933581,1039.4769,71.7909172320597,19,5,1056,-6.21460809842219,1,0,3.02135177352468,0,-2.30248509799371,"large",-0.0720009802542047,1.00607213468552,"low_prod","Cold and mesic","Cold and wet/mesic","Q4 (far)",0,"ok",1
"28","FWB_0157","Salvelinus fontinalis_CherryBrook 21-culverts","CherryBrook 21-culverts","Salvelinus fontinalis","Salmonidae","lotic",-67.931485,47.62246,0.543224660074165,0.103043758782404,0.516546898638427,0.0878621999807237,101.1875,2267.7625,16,0.190905958763128,"FWB_0157",7,"lotic",47.62246,-67.931485,1.38529386078631,5.988121950695,3.41521420933581,1039.4769,71.7909172320597,19,5,1056,-6.21460809842219,1,0,3.02135177352468,0,-2.30248509799371,"large",-0.0720009802542047,1.00607213468552,"low_prod","Cold and mesic","Cold and wet/mesic","Q4 (far)",0,"ok",1
"29","FWB_0158","Cottus cognatus_CherryBrook 22-culverts","CherryBrook 22-culverts","Cottus cognatus","Cottidae","lotic",-67.954117,47.646641,0.309903201787044,0.0451347733893285,0.140441042464006,0.0187592027961476,50.5,86.5,10,0.0638939761854761,"FWB_0158",7,"lotic",47.646641,-67.954117,1.57422515667836,5.40694385132873,3.41521420933581,1039.4769,71.9341344246427,20,0,1048,-6.90775527898214,0,0,2.79923126175466,0,-11.5129254649702,"large",0.0570276787980591,0.236477315449977,"low_prod","Cold and mesic","Cold and wet/mesic","Q4 (far)",0,"ok",1
"30","FWB_0158","Salvelinus fontinalis_CherryBrook 22-culverts","CherryBrook 22-culverts","Salvelinus fontinalis","Salmonidae","lotic",-67.954117,47.646641,0.558383537534691,0.100724969719214,0.408767831403151,0.051656397548009,66.1818181818182,285.363636363636,11,0.152381367267223,"FWB_0158",7,"lotic",47.646641,-67.954117,1.57422515667836,5.40694385132873,3.41521420933581,1039.4769,71.9341344246427,20,0,1048,-6.90775527898214,0,0,2.79923126175466,0,-11.5129254649702,"large",0.0570276787980591,0.236477315449977,"low_prod","Cold and mesic","Cold and wet/mesic","Q4 (far)",0,"ok",1
"31","FWB_0172","Cottus cognatus_Five Fingers River 12-sediment_traps","Five Fingers River 12-sediment_traps","Cottus cognatus","Cottidae","lotic",-67.376062,47.573836,0.520151828847481,0.0435046980354839,0.235763718598442,0.0139918883018136,70.4444444444444,27.0277777777778,9,0.0574965863372975,"FWB_0172",7,"lotic",47.573836,-67.376062,2.37602141106723,5.24988506069325,1.60632598199739,572.9540348,62.298841168052,23,69,1004,-2.07944154167984,7,0,3.75258192273198,0,1.83130224589793,"large",0.604606072565261,0.0285003945710471,"low_prod","Cold and mesic","Cold and wet/mesic","Q3",0,"ok",1
"32","FWB_0172","Salmo salar_Five Fingers River 12-sediment_traps","Five Fingers River 12-sediment_traps","Salmo salar","Salmonidae","lotic",-67.376062,47.573836,0.580248447204969,0.0835574587743099,0.550833742030407,0.0644006909405869,115.4,321.822222222222,10,0.147958149714897,"FWB_0172",7,"lotic",47.573836,-67.376062,2.37602141106723,5.24988506069325,1.60632598199739,572.9540348,62.298841168052,23,69,1004,-2.07944154167984,7,0,3.75258192273198,0,1.83130224589793,"large",0.604606072565261,0.0285003945710471,"low_prod","Cold and mesic","Cold and wet/mesic","Q3",0,"ok",1
"33","FWB_0176","Cottus cognatus_Five Fingers River 4-sediment_traps","Five Fingers River 4-sediment_traps","Cottus cognatus","Cottidae","lotic",-67.353338,47.535488,0.286225306994127,0.0214550231444992,0.177487636003957,0.0154308566859175,69.3,65.3444444444444,10,0.0368858798304167,"FWB_0176",7,"lotic",47.535488,-67.353338,0.529451087889156,6.39326818828272,1.60632598199739,572.9540348,68.5393196690766,23,155,1016,-3.47376807449699,7,0,2.385271380253,0,1.8995684848618,"small",-0.656489880439312,1.54256593206067,"low_prod","Cold and mesic","Cold and wet/mesic","Q3",0,"ok",1
"34","FWB_0176","Rhinichthys atratulus_Five Fingers River 4-sediment_traps","Five Fingers River 4-sediment_traps","Rhinichthys atratulus","Leuciscidae","lotic",-67.353338,47.535488,0.390282968499733,0.0596543374291855,0.463303659742829,0.0609913699063027,60.7,78.4555555555555,10,0.120645707335488,"FWB_0176",7,"lotic",47.535488,-67.353338,0.529451087889156,6.39326818828272,1.60632598199739,572.9540348,68.5393196690766,23,155,1016,-3.47376807449699,7,0,2.385271380253,0,1.8995684848618,"small",-0.656489880439312,1.54256593206067,"low_prod","Cold and mesic","Cold and wet/mesic","Q3",0,"ok",1
