"FWB_id","site_year_code","collection_site_id","waterbody_type","collection_decimal_latitude","collection_decimal_longitude","site_interspe_var_N","site_intraspe_var_N","site_interspe_var_C","site_intraspe_var_C","site_nbspe","site_mean_sample_id","site_min_sample_id","Climate_zone","Type","Latitude","Longitude","Size","dis_r_sv","TP","TN","Distance_km","temp","hft","prec","pop","crp","urb","upstr","regul","pop_den","size_class","size_z_scored","hydro_dis_z_scored","TP_class","Climate_zone_e","Climate_zone_e2","distance_to_env_m","match_flag","propintraspecific_N","propintraspecific_C","propintraspecific_Total"
"FWB_0014","FWB_0014_2015","brisbane_06","lotic",-27.566096,152.746836,0.046228610082069,0.0134897813439755,0.0240302312398844,0.0154803981177215,21,2.42857142857143,1,14,"lotic",-27.566096,152.746836,4.32352319905048,3.8521684199458,6.19099079760183,8553.080142,50.1691737868992,199,99,1044,1.88418670947398,3,10,7.04819352304853,1570,4.48475254530574,"large",1.93463211731829,-1.82235304717337,"high_prod","Hot and dry","Hot and dry",0,"ok",0.225889897933392,0.39180337973385,0.291952689172061
"FWB_0015","FWB_0015_2017","Broken Wagon","lotic",-17.827829,123.696755,0.0616475910197862,0.0149046265842566,0.0564123403582358,0.0111640401987351,15,3.86666666666667,1,17,"lotic",-17.827829,123.696755,4.53725530468945,5.85476554971989,3.38153014014091,65.6349952,28.7781149642061,277,48,530,-6.90775527898214,0,0,9.81103832684694,0,-4.70942020736189,"large",2.08059823085604,0.829481868441397,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.194698821938105,0.165206246719934,0.180870882778371
"FWB_0016","FWB_0016_2012","Bucket Billabong","lotic",-12.85431,132.45525,0.0390609455455198,0.0202526925865969,0.0354193557928825,0.0262004724046445,21,4.23809523809524,1,17,"lotic",-12.85431,132.45525,1.40142924870416,5.08364113518401,3.5870796579524,106.3489373,34.8361210485579,278,3,1413,-6.21460809842219,0,0,1.4014317111488,0,-3.81625838344377,"large",-0.060981485275891,-0.191639462627283,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.341450857246111,0.425195479621542,0.384121669551902
"FWB_0017","FWB_0017_2008","Bulimba Lynd Crossing","lotic",-16.7125,143.4108,0.0422008996623928,0.108708827820329,0.116163057336138,0.13503405186282,2,3,3,17,"lotic",-16.7125,143.4108,3.40056384768855,5.39930259405343,1.63984249243876,11.5280946,36.4806009186243,265,2,946,-6.90775527898214,0,0,7.58084617517767,0,-4.96041757793564,"large",1.30430664951426,0.226358778605712,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.720356663772887,0.537562125190968,0.606164475328489
"FWB_0018","FWB_0018_2021","Bullhole","lotic",-18.264193,124.51391,0.0420936399690889,0.0294129591633539,0.0601403592694491,0.0135536443186742,9,3.88888888888889,1,17,"lotic",-18.264193,124.51391,4.95873830875205,5.26707239763315,4.12919739476996,90.60815164,5.29994632049526,276,31,498,-6.90775527898214,0,0,9.53624540109352,0,-4.70942020736189,"large",2.36844565481374,0.0512598300690914,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.411332094103314,0.183917871994385,0.295912018800059
"FWB_0019","FWB_0019_2018","Bullock Crossing","lotic",-18.440485,125.385156,0.0493737338012501,0.045355522274653,0.0637972361688389,0.0409458050758933,2,12,6,17,"lotic",-18.440485,125.385156,3.17329251324624,4.99410563159376,4.49145575198563,81.55365369,35.7873338271701,275,5,476,-6.90775527898214,0,0,5.86233775426197,0,-5.29631936388536,"large",1.1490940608023,-0.310202188538389,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.478791074198992,0.390916709972393,0.432648184784397
"FWB_0020","FWB_0020_2008","Bushy Creek","lotic",-16.5666667,145.3166667,0.0823496149769845,0.0349310115842279,0.0508160677648343,0.0161949920914808,4,4.5,3,13,"lotic",-16.5666667,145.3166667,0.77794778225241,5.39685554471486,4.24836319090242,265.4608058,75.1336810566759,215,8,1645,-3.32423634052603,0,0,0.777952375719123,0,0.7178446711872,"small",-0.486781653428943,0.223118401008157,"low_prod","Hot and mesic","Hot and moist",0,"ok",0.297841277015998,0.241676405748634,0.277418936630048
"FWB_0021","FWB_0021_2011","Buxton River","lotic",-42.26113,148.00123,0.294139662598726,0.108583878145427,0.000256143203102389,0.5,2,1.5,1,10,"lotic",-42.26113,148.00123,1.31076229850745,3.96839356231595,3.2175401164067,2257.315327,160.457056625874,108,24,695,-4.07454193492592,0,0,1.31022562176409,0,-1.29824685443141,"large",-0.122901533772905,-1.66844795761388,"low_prod","Cool temperate and moist","Cool and moist",0,"ok",0.269623866399232,0.999487975896783,0.67397294641789
"FWB_0022","FWB_0022_2012","Cahill's Crossing","lotic",-12.429,132.968,0.0363747581097898,0.00953778962802174,0.0394529753574349,0.0262124824482295,15,2.93333333333333,1,17,"lotic",-12.429,132.968,3.60696416091267,5.82405725596219,5.51168429525293,530.9194255,33.3756778393892,279,49,1461,-6.90775527898214,0,0,7.29885639039495,0,-4.34203698645772,"large",1.44526559185112,0.78881801030693,"high_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.207738191365208,0.399182208183255,0.320406086326048
"FWB_0023","FWB_0023_2008","Cairo Lagoon","lentic",-16.4616667,143.2183333,0.0780740759958827,0.0126340043873534,0.0548912418521295,0.0162842625513453,9,3.22222222222222,1,17,"lotic",-16.4616667,143.2183333,0.954356932680611,4.9662580530655,1.75235017446771,10.61083938,25.3747402392433,266,50,962,-6.90775527898214,2,0,0.95436078327004,0,-4.96041757793564,"small",-0.366304863086566,-0.347077893570933,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.139282016926998,0.228790265524979,0.178636190795996
"FWB_0024","FWB_0024_2012","Cannon Hill Billabong","lotic",-12.374708,132.954536,0.0710182833004675,0.0156021561079472,0.0594117516182327,0.0168307317283327,19,2.8421052631579,1,17,"lotic",-12.374708,132.954536,0.800206252853353,5.65211919320156,1.66475864499388,13.88487205,33.9440712263054,279,7,1462,-6.90775527898214,0,0,1.64287462275444,0,-3.81625838344377,"small",-0.471580462961087,0.561137988512816,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.18012095314344,0.22075266950353,0.199142243597542
"FWB_0025","FWB_0025_2021","Christmas Creek","lotic",-18.479874,125.380907,0.0658624667529592,0.0138776243344618,0.0479837709250306,0.0199537916313092,11,3.09090909090909,1,17,"lotic",-18.479874,125.380907,4.56873439134688,4.52339279770855,4.49145575198563,81.55365369,40.4003582814617,275,38,471,-6.21460809842219,0,0,7.6853810112194,0,-4.82706451790187,"large",2.10209654494117,-0.933519135100472,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.174035722121855,0.293707794046361,0.229089609233511
"FWB_0027","FWB_0027_2009","Crocodile Hole","lotic",-15.4049,142.1712,0.084556487939806,0.00396928350412565,0.0622623298901939,0.0124766634698947,12,1.41666666666667,1,17,"lotic",-15.4049,142.1712,1.8885836538636,4.78895675941779,0.660252523175337,5.598350992,24.4170227623602,267,15,1163,-6.90775527898214,0,0,1.88858516672175,0,-5.80581520022135,"large",0.271715537482266,-0.581859894447813,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.0448376042296295,0.166936466614994,0.100731759199615
