"","fish_species","sp_site_var_C_mean","sp_site_var_N_mean","sp_site_var_C_sd","sp_site_var_N_sd"
"97","Brycon guatemalensis",0.0272230354071879,0.0222220938619496,0.0245563051762969,0.0297484880125387
"98","Brycon orbignyanus",0.0162841010554647,0.0188238994430687,NA,NA
"99","Brycon orthotaenia",0.0140222617844061,0.0513536919835405,NA,NA
"100","Bryconaethiops boulengeri",0.000896347759939043,0.0160022653863116,0.000747195911036316,0.0130240807643235
"101","Bryconaethiops macrops",0.000244409192334638,0.0116865376339078,0.000280687868472506,0.0040844189090469
"102","Bryconaethiops microstoma",0.000531484003216235,0.00832685120527981,0.000320745063205857,0.0120452579353575
"103","Bryconalestes longipinnis",0.00403336475183573,0.0111748128592824,0.00397962281082197,0.00955682529174108
"104","Bryconamericus guyanensis",0.00677277439282638,0.00591441794466923,0.00991863990823306,0.00526423771721504
"105","Bryconamericus hyphesson",0.00046057117724992,0.0015400807930238,0.000500544450398875,0.000570336132815665
"106","Bryconamericus microcephalus",0.084828314695737,0.0130627841613111,NA,NA
"107","Bryconops affinis",0.00140655726267581,0.00364409371501924,0.000522126229504756,0.0013904664302941
"108","Bryconops melanurus",9.14109368616643e-05,0.00148738623710648,NA,NA
"109","Callichthys callichthys",0.0944917896999883,0.00858831811449425,0.0786695421519301,0.00732395535837266
"110","Campostoma anomalum",0.019553509236531,0.0138086515371079,NA,NA
"111","Caranx hippos",0.0286101152829678,0.0601382087317614,0.0058681117893345,0.0318749646126253
"112","Carassius auratus",0.0182231745242994,0.0130221446008237,0.0187186086056794,0.0126983515987152
"113","Carassius carassius",0.0425641908628691,0.0326173507689996,0.0588554577378217,0.0435634278282964
"114","Carassius gibelio",0.0339301603428251,0.0200427375779311,0.032107450026228,0.0150901065296252
"115","Carlhubbsia kidderi",0.00586010674234213,6.16230115639782e-05,NA,NA
"116","Cathorops aguadulce",0.0463073706176987,0.0130456766102449,0.094880778334196,0.0196990583802392
"117","Cathorops melanopus",0.000843988915589924,0.000298230214287864,NA,NA
"118","Catostomus catostomus",0.0221069707654529,0.00664640464925129,0.0257639776801462,0.00481394229570347
"119","Catostomus clarkii",0.0379307591893337,0.0221133123300343,0.0245708005886966,0.0120130328406215
"120","Catostomus commersonii",0.042000442487343,0.0306218284034706,0.0514208576320323,0.0493297796981234
"121","Catostomus insignis",0.0334061711534625,0.0175333755711747,0.0523573758371144,0.018273751559889
"122","Centropomus poeyi",0.0231047152290739,0.0138123126462906,0.0248694292264024,0.0151114583768275
"123","Centropomus undecimalis",0.0538342146231004,0.0415853287578564,0.0526105818535402,0.0397653727092989
"124","Channa gachua",0.0270964211061614,0.0521462703242969,0.0190853284535733,0.0334022398703311
"125","Channallabes apus",0.00172044275851213,0.0312837199867571,NA,NA
"126","Characidium fasciatum",0.00514109464900734,0.00715149570229329,NA,NA
"127","Characidium zebra",0.00677768811934011,0.0102894098205421,0.000776130367580904,0.00259004599775431
"128","Charax pauciradiatus",0.00153275585585759,0.00126783912986273,NA,NA
"129","Chasmocranus bleekeri",7.31885526226934e-05,0.00217140712543226,NA,NA
"130","Chasmocranus brevior",0.00585940396535394,0.0021852842711577,NA,NA
"131","Chasmocranus longior",0.00724446997989083,0.00456037772700957,0.00816481838716591,0.00367505324823533
"132","Cheilobarbus capensis",0.00177589061582013,0.022027800686053,NA,NA
