"","FWB_id","Climate_zone_2cat"
"236","FWB_0503","Cold/Cool"
"237","FWB_0504","Cold/Cool"
"238","FWB_0505","Cold/Cool"
"239","FWB_0506","Cold/Cool"
"240","FWB_0508","Cold/Cool"
"241","FWB_0509","Warm/Hot"
"242","FWB_0513","Warm/Hot"
"243","FWB_0516","Warm/Hot"
"244","FWB_0524","Warm/Hot"
"245","FWB_0550","Warm/Hot"
"246","FWB_0552","Warm/Hot"
"247","FWB_0554","Warm/Hot"
"248","FWB_0555","Warm/Hot"
"249","FWB_0557","Cold/Cool"
"250","FWB_0571","Cold/Cool"
"251","FWB_0572","Warm/Hot"
"252","FWB_0575","Cold/Cool"
"253","FWB_0577","Cold/Cool"
"254","FWB_0578","Cold/Cool"
"255","FWB_0579","Cold/Cool"
"256","FWB_0581","Cold/Cool"
"257","FWB_0583","Cold/Cool"
"258","FWB_0584","Cold/Cool"
"259","FWB_0585","Cold/Cool"
"260","FWB_0586","Cold/Cool"
"261","FWB_0589","Cold/Cool"
"262","FWB_0590","Cold/Cool"
"263","FWB_0593","Cold/Cool"
"264","FWB_0609","Cold/Cool"
"265","FWB_0615","Warm/Hot"
"266","FWB_0618","Cold/Cool"
"267","FWB_0644","Warm/Hot"
"268","FWB_0647","Cold/Cool"
"269","FWB_0648","Cold/Cool"
"270","FWB_0649","Cold/Cool"
"271","FWB_0655","Warm/Hot"
"272","FWB_0664","Cold/Cool"
"273","FWB_0668","Cold/Cool"
"274","FWB_0673","Warm/Hot"
"275","FWB_0674","Warm/Hot"
"276","FWB_0678","Cold/Cool"
"277","FWB_0680","Cold/Cool"
"278","FWB_0681","Cold/Cool"
"279","FWB_0682","Cold/Cool"
"280","FWB_0685","Cold/Cool"
"281","FWB_0686","Cold/Cool"
"282","FWB_0688","Cold/Cool"
"283","FWB_0689","Cold/Cool"
"284","FWB_0690","Warm/Hot"
"285","FWB_0691","Warm/Hot"
"286","FWB_0692","Cold/Cool"
"287","FWB_0697","Cold/Cool"
"288","FWB_0701","Cold/Cool"
"289","FWB_0705","Cold/Cool"
"290","FWB_0707","Warm/Hot"
"291","FWB_0708","Warm/Hot"
"292","FWB_0710","Warm/Hot"
"293","FWB_0712","Warm/Hot"
"294","FWB_0713","Warm/Hot"
"295","FWB_0714","Cold/Cool"
"296","FWB_0716","Warm/Hot"
"297","FWB_0717","Warm/Hot"
"298","FWB_0720","Cold/Cool"
"299","FWB_0731","Warm/Hot"
"300","FWB_0732","Warm/Hot"
"301","FWB_0733","Warm/Hot"
"302","FWB_0735","Warm/Hot"
"303","FWB_0737","Warm/Hot"
"304","FWB_0739","Warm/Hot"
"305","FWB_0740","Warm/Hot"
"306","FWB_0741","Warm/Hot"
"307","FWB_0750","Warm/Hot"
"308","FWB_0751","Warm/Hot"
"309","FWB_0752","Warm/Hot"
"310","FWB_0754","Warm/Hot"
"311","FWB_0755","Warm/Hot"
"312","FWB_0756","Warm/Hot"
"313","FWB_0758","Warm/Hot"
"314","FWB_0759","Warm/Hot"
"315","FWB_0760","Warm/Hot"
"316","FWB_0762","Warm/Hot"
"317","FWB_0763","Warm/Hot"
"318","FWB_0764","Warm/Hot"
"319","FWB_0765","Warm/Hot"
"320","FWB_0766","Warm/Hot"
"321","FWB_0768","Warm/Hot"
"322","FWB_0769","Warm/Hot"
"323","FWB_0770","Warm/Hot"
"324","FWB_0772","Warm/Hot"
"325","FWB_0774","Warm/Hot"
"326","FWB_0775","Warm/Hot"
"327","FWB_0776","Warm/Hot"
"328","FWB_0779","Warm/Hot"
"329","FWB_0783","Warm/Hot"
"330","FWB_0784","Warm/Hot"
"331","FWB_0789","Warm/Hot"
"332","FWB_0790","Warm/Hot"
"333","FWB_0791","Warm/Hot"
"334","FWB_0792","Warm/Hot"
"335","FWB_0793","Warm/Hot"
"336","FWB_0799","Warm/Hot"
"337","FWB_0800","Warm/Hot"
"338","FWB_0801","Cold/Cool"
"339","FWB_0802","Cold/Cool"
"340","FWB_0803","Cold/Cool"
"341","FWB_0804","Cold/Cool"
"342","FWB_0805","Warm/Hot"
"343","FWB_0806","Cold/Cool"
"344","FWB_0807","Cold/Cool"
"345","FWB_0809","Cold/Cool"
"346","FWB_0814","Warm/Hot"
"347","FWB_0815","Warm/Hot"
"348","FWB_0816","Warm/Hot"
"349","FWB_0819","Warm/Hot"
"350","FWB_0821","Warm/Hot"
"351","FWB_0824","Warm/Hot"
"352","FWB_0827","Warm/Hot"
"353","FWB_0828","Warm/Hot"
"354","FWB_0830","Warm/Hot"
"355","FWB_0831","Warm/Hot"
"356","FWB_0833","Warm/Hot"
"357","FWB_0835","Warm/Hot"
"358","FWB_0836","Warm/Hot"
"359","FWB_0837","Warm/Hot"
"360","FWB_0839","Warm/Hot"
