"FWB_id","site_year_code","sp_site","collection_site_id","fish_family","fish_scientific_name","fish_name_level","waterbody_type","collection_decimal_longitude","collection_decimal_latitude","sp_site_mean_N","sp_site_var_N","sp_site_mean_C","sp_site_var_C","sp_site_mean_length","sp_site_var_length","sp_site_num_ind","sp_site_body_size_range","VarTot"
"FWB_0007","FWB_0007_2002","Leiopotherapon unicolor_Bilanoo","Bilanoo","Terapontidae","Leiopotherapon unicolor","species","lotic",116.144841,-21.295131,0.412739965095986,0.0397078844695412,0.888,0.017508,101,32,3,NA,0.0572158844695412
"FWB_0007","FWB_0007_2002","Melanotaenia australis_Bilanoo","Bilanoo","Melanotaeniidae","Melanotaenia australis","species","lotic",116.144841,-21.295131,0.253926701570681,0.0061881527370412,0.603333333333333,0.0128213333333333,28.6666666666667,49.3333333333333,3,14,0.0190094860703745
"FWB_0007","FWB_0007_2002","Nematalosa erebi_Bilanoo","Bilanoo","Dorosomatidae","Nematalosa erebi","species","lotic",116.144841,-21.295131,0.265270506108203,0.00880823807826908,0.222333333333333,0.0169923333333333,190,6728,3,NA,0.0258005714116024
"FWB_0007","FWB_0007_2002","Neoarius graeffei_Bilanoo","Bilanoo","Ariidae","Neoarius graeffei","species","lotic",116.144841,-21.295131,0.584424083769634,0.0261157634567766,0.715,0.00768666666666665,211.75,2951.58333333333,4,121,0.0338024301234433
"FWB_0008","FWB_0008_2011","Carassius auratus_Booligar","Booligar","Cyprinidae","Carassius auratus","species","lentic",148.079656,-28.924847,0.692248532685691,0.026322029210009,0.494097165551385,0.00408067546420348,92.3333333333333,276.333333333333,3,33,0.0304027046742125
"FWB_0008","FWB_0008_2011","Cyprinus carpio_Booligar","Booligar","Cyprinidae","Cyprinus carpio","species","lentic",148.079656,-28.924847,0.444785613091624,0.0215769299873998,0.74274289444846,0.0262224595521692,214.380952380952,7720.64761904762,21,308,0.047799389539569
"FWB_0008","FWB_0008_2011","Eleotridae_Booligar","Booligar","Eleotridae","Eleotridae sp.","family","lentic",148.079656,-28.924847,0.807650273224044,NA,0.608699200261139,NA,26,NA,1,0,NA
"FWB_0008","FWB_0008_2011","Gambusia affinis_Booligar","Booligar","Poeciliidae","Gambusia affinis","species","lentic",148.079656,-28.924847,0.86645415907711,0.0104363700881961,0.353027582830096,0.0715897798707237,32.125,782.982142857143,8,86,0.0820261499589198
"FWB_0008","FWB_0008_2011","Leiopotherapon unicolor_Booligar","Booligar","Terapontidae","Leiopotherapon unicolor","species","lentic",148.079656,-28.924847,0.804209674155029,0.00989795924636887,0.587508840650672,0.0037220991790767,82.3333333333333,76.3333333333333,3,17,0.0136200584254456
"FWB_0008","FWB_0008_2011","Macquaria ambigua_Booligar","Booligar","Percichthyidae","Macquaria ambigua","species","lentic",148.079656,-28.924847,0.917202995345072,0.0027835012958619,0.586121538545237,0.00404590422868996,158.833333333333,4871.76666666667,6,193,0.00682940552455187
"FWB_0008","FWB_0008_2011","Nematalosa erebi_Booligar","Booligar","Dorosomatidae","Nematalosa erebi","species","lentic",148.079656,-28.924847,0.577926631020232,0.0624999334192555,0.351979867008534,0.0207873362647804,116.806451612903,721.494623655914,31,135,0.0832872696840359
