HYBAS_ID,Longitude,Latitude,Area_SqKm,DRP,TP,TN,NO3
3060460330,83.26880155,59.54528256,8986.3,19.07491901,26.648423,326.1048325,819.9944424
3060548190,65.30766169,55.56454316,133176.3,98.4219348,442.0340651,1493.604462,227.3709753
3060548370,66.30784237,55.66117881,3591,20.81245811,69.79570849,664.7940502,142.7254841
3060520990,70.49170295,56.43141233,127425.9,62.56197874,420.7590636,2025.378693,802.633349
3060520980,69.86499231,56.71013492,2474.6,30.12879415,60.75110766,803.5896481,236.2312735
3060456640,79.41730291,59.15189613,44259.5,5.995040777,21.42941788,88.87449929,175.6548848
3060456930,78.65323192,58.17176971,14177.8,32.27829867,60.50309564,475.2142883,840.6648474
3060502090,62.11750689,57.56495051,22093.4,71.39190947,208.4231432,1674.971824,1164.890101
3060501940,63.47805143,58.26454112,31689.6,50.85262812,144.9128358,891.1635136,620.44098
3060458290,63.31160846,59.17952625,67567.2,11.35896125,55.07556453,232.9818742,250.9237003
3060458130,64.68319949,59.17174155,3769.6,13.9394704,49.10547524,249.4318477,246.1924903
3060545780,61.96922722,56.12096029,29183.5,55.74870479,277.0997945,1239.18922,290.2729492
3060545960,64.2719228,55.83928551,21197.5,21.46203604,171.7363216,1079.670752,119.4258526
3060453200,77.59603374,58.57035546,9361.9,17.95362428,25.11530104,240.1669789,282.1658951
3060453050,76.81031099,59.04864576,33038.3,25.79933496,109.4074513,323.6105627,769.2375905
3060471370,82.45575473,58.28274611,508879.6,7.688756267,19.47667665,312.5301937,238.5777684
3060471360,81.60920445,58.19150698,3466.6,38.30596819,48.65961793,611.1091548,432.6865461
3060559980,63.49144261,55.58971593,18389.8,20.93287304,140.7006797,1093.163773,152.6172809
3060560090,64.3115145,55.52225635,1312.4,11.83753563,34.37523792,559.8976135,78.33707233
3060477600,82.04235225,57.11476984,26505.4,66.21893343,90.2274024,1444.748323,662.6645601
3060477610,83.19034222,58.06088701,481409.1,8.047951103,95.5404333,412.822135,589.2476022
3060571220,64.16020685,55.22760442,3113.6,23.05230576,57.00952894,582.6763838,153.0878886
3060571330,65.09476119,54.9944315,123380.5,21.66466824,222.1385068,1458.098715,295.2655464
3060578810,63.61940057,54.80665457,5707.4,39.52131656,53.31866662,752.6833618,496.4237505
3060578820,64.75336195,54.56350503,115437.1,38.86076285,311.0668876,1385.708789,354.0602414
3060511770,73.95331613,57.16947508,376678.9,6.298138078,19.52569786,326.5117534,290.9915262
3060511910,73.66705831,57.18152638,31944.3,1.068538514,6.69234708,45.63788257,81.68023748
3060565200,62.88171261,55.39285524,15104.5,19.69464671,163.514906,1326.327363,158.9150912
3060565320,63.20467821,55.12156489,1263.4,12.79768274,34.00167448,606.7690823,173.3749013
3060513610,73.69324936,56.55735645,25483.3,37.85003662,275.902295,1188.815981,542.9965131
3060513600,72.75694118,56.83315539,6436.5,30.55882722,192.7372933,758.7423015,219.4500589
3060437080,62.39323739,59.96314072,47121.8,11.94244392,58.79804067,131.1649549,243.1522942
3060436870,62.09575412,60.78958579,15175.3,32.60601565,120.5888558,824.5392282,430.8591733
3060488070,83.6290077,57.80941234,477126.8,4.139313212,13.6361337,179.4298286,342.2360907
3060488080,83.88194027,58.0258275,1630.7,8.812727869,23.5277015,195.9498705,336.4989696
3060515430,74.38422006,56.79875001,369258.2,15.10159653,211.4558878,580.1171044,1051.618047
3060515440,75.57636934,57.00994792,6926.7,25.16210972,133.8537732,916.226506,484.6528324
3060545810,68.68982104,54.81411488,115632.3,55.43092472,192.7008648,756.483717,135.2866397
3060545680,69.06166358,56.19596267,2980.1,16.23107338,39.10711193,248.277271,289.6238051
3060568270,60.79174511,55.189437,8115.5,29.74127647,205.8786149,910.8383869,288.2524567
